,Judul,Nama Penulis,Pembimbing I,Pembimbing II,Abstrak
155,Pengembangan Game Edukasi Berbasis Android Pada Mata Pelajaran Bahasa Madura Di SMK Negeri 1 Labang,Mohammad Fikri Ansori,"Wanda Ramansyah, S.Pd., M.Pd.","Sigit Dwi Saputro, S.Pd., M.Pd.","ABSTRAK

        Penelitian pengembangan ini bertujuan mengembangkan produk pengembangan game edukasi berbasis android untuk siswa kelas XI Teknik Komputer dan Jaringan materi Lingkungan Hidup dan dalam bidang pendidikan secara efektif dan efisien. Karena di SMK Negeri 1 Labang membutuhkan media pembelajaran yang intraktif, menarik dan menyenangkan sehingga penyampaian materi lebih mudah dan efektif, salah satunya dengan dengan game edukasi berbasis android yang dapat membangkitkan motivasi belajar siswa. Penelitian pengembangan ini berpedoman pada model pengembangan ADDIE yang terdiri dari 5 tahapan yaitu analisis, desain, pengembangan, implementasi, dan evaluasi. Kelayakan dari game edukasi ini ditinjau dari dua aspek yaitu aspek materi dan aspek media. Uji coba dalam penelitian ini ada tiga tahapan yaitu perorangan (3 Orang), kelompok kecil (6 Orang), dan kelompok besar (20 Orang). Metode yang digunakan untuk mengumpulkan data yaitu menggunakan angket.
        Hasil analisis menunjukkan bahwa kualitas media yang dihasilkan adalah sebagaiberikut: dari uji kelayakan siswa terhadap aspek penggunaan media mendapat persentase 4,3. Rata-rata hasil kualifikasi dari tiga aspek media pembelajaran menurut ahli materi memperoleh persentase total 4,8, sedangkan menurut ahli media memperoleh pesentase total 4,5, dan hasil uji coba perorangan memperoleh 4,2, dan dan hasil ujicoba kelompok kecil memperoleh 3,7, dan hasil ujicoba kelompok besar memperoleh 4,2, dengan demikian dapat disimpulakn bahwa game edukasi berbasis android dapat digunakan untuk meningkatkan kualitas pembelajaran.

Kata kunci : Pengembangan, Game Edukasi, Android, Bahasa Madura"
156,profil berpikir kritis siswa ditinjau dari gaya kognitif (reflektif-impulsif) dalam memecahkan masalah materi algoritma,Alfiatus Soleha,"Puji Rahayu Ningsih, S.Pd.,M.Pd","Sigit Dwi Saputro, S.Pd.,M.Pd","Tujuan penelitian ini adalah untuk mengetahui profil berpikir kritis siswa
ditinjau dari gaya kognitif reflektif-impulsif. Dalam penelitian ini, gaya kognitif di
kategorikan menjadi 2 yaitu, gaya kognitif reflektif dan gaya kognitif impulsif.
Penelitian ini menggunakan pendekatan kualitatif dengan jenis penelitian deskriptif
kualitatif. Teknik pengumpulan data melalui tes MFFT (Matching Familiar Figure
Test) untuk mendapatkan kategori gaya kognitif, tes tulis dalam bentuk cerita uraian
algoritma perulangan dangan tujuan untuk mengetahui profil berpikir kritis dari
masing-masing subjek dan wawancara dilakukan untuk memverifikasi dan
memperluas informasi dari siswa dalam menyelesaikan soal cerita algoritma
perulangan. Hasil penelitian yang diperoleh adalah; dua siswa dengan kategori
reflektif cenderung berpikir kritis dengan menunjukkan indikator kriteria FRISCO
yaitu siswa dapat memahami permasalahan (focus), subjek menceritakan soal dengan
hati-hati dan baik, dapat memberikan alasan (reason) yang relevan dan memberikan
kesimpulan (inference) serta dapat menceritakan lebih lanjut tentang apa yang
dimaksud(clarity). disertai melakukan overview setelah selesai mengerjakan soal.
Dalam proses cenderung lama.; dua siswa dengan kategori impulsif cenderung hanya
menunjukkan 1 indikator kriteria FRISCO yaitu subjek dapat memahami
permasalahan (focus) dalam menceritakan soal cenderung kata-kata yang digunakan
mengadopsi dari apa yang ada di soal, subjek selalu memberikan alasan (reason) akan
tetapi alasan yang dibuat tidak relevan dan tidak dapat memberikan kesimpulan
(inference) karena tidak menggunakan semua informasi dengan baik (situation)
otomatis tidak bisa memberi penjelasan lebih lanjut (clarity) setelah mengerjakan soal
melakukan overview untuk hasil akhirnya saja.
Kata-kata Kunci: Gaya Kognitif, Profil Berpikir Kritis, Algoritma Perulangan"
157,PENGEMBANGAN MEDIA PEMBELAJARAN BERBASIS ANIMASI 2D PADA MATERI OFFER AND SUGGESTION,SITI AINUN ZAHROH,"WANDA RAMANSYAH, S. Pd., M. Pd","MUCHAMAD ARIF, S. Pd., M. Pd","       Penelitian ini bertujuan untuk mengembangkan media pembelajaran berbasis animasi 2D (video animasi 2D) untuk membantu siswa dalam mengatasi kesulitan membaca teks bahasa Inggris, memahami dan meningkatkan daya tarik siswa untuk belajar materi Offer and Suggestion. Penelitian ini dilakukan untuk mengetahui kualitas dan respon siswa terhadap video animasi 2D. Penelitian ini menggunakan model pengembangan ADDIE (Analysis, Design, Development, Implementation, Evaluation). Pengujian penelitian ini dilakukan kepada siswa kelas XII SMK Nurul Amanah dengan menggunakan tiga aspek yaitu efektivitas, efisiensi dan daya tarik. Berdasarkan hasil pengujian terhadap kelompok besar mendapatkan hasil sebesar 83,57% untuk aspek efektivitas, 83,49% untuk aspek efisiensi dan 80,32% untuk aspek daya tarik. Berdasarkan penilaian tersebut media berbasis animasi 2D (video animasi 2D) dinyatakan memiliki kualifikasi yang tinggi dan layak digunakan sebagai media pembelajaran pada materi Offer and Suggestion.

Kata Kunci: Media Pembelajaran, Animasi 2D, Offer and Suggestion, ADDIE"
158,PENGARUH   MODEL PEMBELAJARAN KOOPERATIF  DENGAN PENDEKATAN  TEAM  ASSISTED  INDIVIDUALIZATION  (TAI)  PADA  MATA PELAJARAN  DESAIN  GRAFIS  TERHADAP HASIL  BELAJAR  SISWA PADA  KELAS X SMKN 1 KAMAL,Fatma Rasa,"Puji Rahayu Ningsih, S.Pd., M.Pd","Muchamad Arif, S.Pd., M.Pd","Penyebab rendahnya hasil belajar siswa pada mata pelajaran desain grafis adanya model pembelajaran yang diajarkan oleh guru tidak bervariasi sehingga siswa kurang tertarik untuk belajar dan berimplikasi pada kurangnya pemahaman siswa terhadap pelajarandan hasil belajar itu sendiri. Pemilihan model pembelajaran yang kurang tepat merupakan masalah yang perlu dicari solusi untuk siswa, karena pemilihan model pembelajaran yang tepat merupakan kunci dasar yang dapat berpengaruh besar terhadap proses pembelajaran yang sedang berlangsung sehingga dapat mempengaruhi hasil belajar siswa. Tujuan penelitian ini untuk melihat pengaruh model pembelajaran kooperatif  dengan pendekataan kooperatif dengan pendekataan Team Assisted Individualization (TAI) pada mata pelajaran desain grafis terhadap hasil belajar siswa pada kelas X SMKN 1 Kamal. Metode yang digunakan dalam penelitian ini yaitu metode penelitian  kuantitatif dengan mengguakan quasi experimental design dengan menggunakan bentuk prestest-postteset control group design. Pada penelitian ini kelas X RPL 2 sebagai kelas eksperimen dan  kelas X RPL 1 sebagai kelas kontrol dengan yang yang digunakan oleh peneliti adalah tes hasil belajar siswa yang berupa soal pretest dan posttest, lembar aktivitas terhadap guru dan siswa. Tes hasil belajar dianalisis mengunakan uji stastik.Dari hasil penelitian menggunakan uji signifikasi diperoleh thitung sebesar 2.154 lebih besar dari ttabel sebesar 2.08, maka Ho ditolak dan Ha diterima sehingga terdapat pengaruh model pembelajaran kooperatif dengan pendekatan Team Assisted Individualization terhadap  hasil belajar siswa.
Kata kunci : Pembelajaran Kooperatif, pendekataan Team Assisted Individualization, hasil belajar desain grafis
"
159,PENGEMBANGAN MEDIA PEMBELAJARAN GAME EDUKASI PENJUMLAHAN DAN PENGURANGAN DALAM PELAJARAN MATEMATIKA BERBASIS ANDROID MENGGUNAKAN CONSTRUCT 2 ,Khoirul Aditya Kurniawan,"Moch. Kautsar Sophan, S.Kom., M.MT.","Muchamad Arif, S.Pd., M.Pd.","ABSTRAK


Dalam mata pelajaran matematika pada materi penjumlahan dan pengurangan kebanyakan yang dilakukan oleh guru untuk menyampaikan materi kepada siswanya media yang sering di gunakan dalam peroses pembelajaran yaitu papan tulis dan buku, kurangnya media atau alat bantu pembelajaran yang menarik sehingga siswa merasa jenuh dan cepat bosan dalam melakukan pembelajaran. Diperlukan suatu ide kreatif untuk mengembangkan suatu media pembelajaran yang baru dan bersifat menyenangkan. Dalam hal tersebut muncullah ide untuk membuat media pembelajaran berbentuk game edukasi penjumlahan dan pengurangan berbasis android menggunakan construct 2. Tujuan penelitian adalah untuk mengembangkan suatu media pembelajaran berupa game edukasi dan mengetahui respon dari siswa yang telah mencoba menggunakan media pembelajaran game edukasi penjumlahan dan pengurangan. Selain itu, penelitian ini bertujuan untuk mengetahui kelayakan pada media pembelajaran yang telah di buat. Penelitian yang digunakan yaitu menggunakan model ADDIE (Analysis, Design, Development, Implementation dan Evaluations). Penelitian ini dilakukan di SDN Mlajah 2 Bangkalan. Siswa kelas 2 digunakan sebagai subjek di penelitian ini. Instrumen penelitian yang digunakan adalah angket. Hasil persentase yang diperoleh dari ahli materi dilihat dari sisi efektivitas, efisiensi dan daya tarik terhadap media adalah sebesar 91% dengan kualifikasi sangat tinggi. Hasil persentase dari ahli media adalah sebesar 84% dengan kualifikasi tinggi. Persentase yang diperoleh dari uji coba perorangan adalah sebesar 96% dengan kualifikasi tinggi. Sedangkan hasil persentase yang diperoleh dari uji coba kelompok besar terhadap media yaitu sebesar 92% dengan kualifikasi tinggi. Berdasarkan hasil persentase dari ahli media, ahli materi uji coba perorangan dan uji coba kelompok besar menunjukkan bahwa media pembelajaran game edukasi dilihat dari sisi efektivitas, efisiensi, dan daya tarik layak digunakan tanpa revisi.


Kata-kata Kunci: Media Pembelajaran, Game edukasi, Penjumlahan dan pengurangan, Construct 2, Android.




"
160,"PENGEMBANGAN SISTEM INFORMASI ADMINISTRASI SKRIPSI
BERBASIS WEB DI PROGRAM STUDI PENDIDIKAN INFORMATIKA",Putri Rahayu Ningtyas,"Wanda Ramansyah, S.Pd., M.Pd.","Medika Risnasari, S.ST., M.T.","Sistem administrasi skripsi di Program Studi Pendidikan Informatika masih menggunakan
cara manual diantaranya adalah mahasiswa mengisi formulir pengajuan judul skripsi.
Maka dari itu penelitian ini bertujuan untuk mengembangkan Sistem Informasi
Administrasi Skripsi Berbasis Web di Program Studi Pendidikan Informatika. Metode
yang digunakan dalam penelitian ini adalah Research and Development (R&D) dengan
model waterfall. Model waterfall terdiri dari 4 tahapan yaitu analisis kebutuhan, desain,
pengkodean, dan pengujian. Sistem Informasi Administrasi Skripsi Berbasis Web dapat
memberikan keluaran kepada penggunanya berupa kemudahan dalam rekapitulasi data
skripsi, pengolahan nilai hasil ujian skripsi, laporan mahasiswa layak skripsi, laporan
pengajuan judul, laporan pembimbingan mahasiswa, laporan jumlah penelitian, laporan
jumlah dosen, laporan jumlah mahasiswa skripsi, laporan ujian skripsi, dan laporan berita
skripsi. serta dilengkapi dengan beberapa fitur diantaranya, fitur import excel, fitur cetak
data, dan fitur “search”. Hasil yang didapat dari angket respon ahli sistem menunjukkan
X=1 yang menunjukkan sistem berfungsi secara keseluruhan dan berfungsi dengan baik.
Hasil angket respon admin adalah 95% yang menunjukkan bahwa sistem informasi
administrasi skripsi sesuai kebutuhan Program Studi Pendidikan Informatika dan hasil
angket respon mahasiswa adalah 90% yang menunjukkan bahwa sistem ini memudahkan
untuk mencari informasi skripsi yang dibutuhkan. Dari hasil tersebut dapat disimpulkan
Sistem Administrasi Skripsi Berbasis Web sangat layak digunakan.


Kata Kunci : Administrasi Skripsi, Sistem Informasi, Web"
161,pengaruh model pembelajaran kooperatif tipe Make a Match terhadap minat belajar siswa pada mata pelajaran simulasi dan komunikasi digital kelas X TKJ SMKN 1 Kwanyar,Atika Fifitrotin,"Muchamad Arif, S.Pd.,M.Pd","Medika Risnasari, S.ST.,M.T","Penelitian ini bertujuan untuk mendiskripsikan penerapan pelaksanaan pembelajaran menggunakan model pembelajaran kooperatif tipe Make a Match  dan untuk mengetahui pengaruh model pembelajaran kooperatif tipe Make a Match terhadap minat belajar siswa pada materi simulasi dan komunikasi digital kelas X TKJ SMKN 1 Kwanyar penelitian ini merupakan penelitian kuantitatif yang menggunakan desain Quasi Eksperimental Design. Hasil penelitian menunjukkan : (1) Terdapat pengaruh yang signifikan pada pembelajaran setelah menggunakan  model pembelajaran kooperatif tipe Make a Match, Hal ini  dibuktikan dengan uji wilcoxon match pairs test dari data hasil penelitian diperoleh jumlah jenjang yang kecil nilainya adalah 0,000 maka Ho ditolak. Hal tersebut membuktikan bahwa terdapat pengaruh dari penggunaan model pembelajaran kooperatif tipe Make a Match pada materi simulasi dan komunikasi digital. (2) Pelaksanaan pembelajaran menggunakan model pembelajaran kooperatif tipe Make a Match dibuktikan dengan hasil aktivitas siswa pada pertemuan pertama 95,18 % dengan kategori “sangat aktif” dan pertemuan kedua  meningkat 95,55 % tergolong dengan kategori “sangat aktif”. Hal tersebut didukung juga dengan aktivitas  guru “ baik” dengan jumlah skor hasil observasi pada pertemuan awal 3,52 dan pertemuan kedua meningkat sebesar 3,60 dengan kategori “sangat baik”. (3) Respon siswa TKJ kelas X SMKN 1 Kwanyar terhadap model pembelajaran kooperatif tipe Make a Match dibuktikan dengan analisis kategori kecenderungan minat yang mendapatkan nilai rata-rata sebesar 76,38 dan masuk kategori minat tinggi. 
 
Kata Kunci: Minat Belajar, Pembelajaran Kooperatif Tipe Make a Match, Simulasi Dan Komunikasi Digital 
"
162,PENGEMBANGAN MEDIA PEMBELAJARAN SISTEM TATA SURYA BERBASIS VIRTUAL REALITY DI SMP N 1 KAMAL KELAS VII,FANDA YOGA ADI P,"WANDA TRAMANSYAH, S.Pd., M.Pd.","SIGIT DWI SAPUTRO, S.Pd., M.Pd.","Materi sistem tata surya merupakan salah satu materi yang cukup sulit dalam memberikan bentuk kongkretnya. Kebanyakan pendidik hanya menyajikan gambar maupun video dua dimensi dalam pembelajaran pada materi tata surya. Penggunaan media virtual reality sangat membantu siswa dalam mempelajari materi sistem tata surya, karena media tersebut dapat menyajikan tiga atau bahkan empat dimensi. Tujuan dilakukannya penelitian pengembangan ini adalah untuk mengembangkan dan memvalidasi media pembelajaran berbasis virtual reality sebagai media pembelajaran yang layak digunakan untuk materi sistem tata surya. Penelitian ini mengunakan metode Research and Development (R&D) dengan model pengembangan ADDIE yang memiliki lima tahapan, yaitu: Analyze (analisis), Design (desain), Development (pengembangan), Implementation (implementasi), dan Evaluation (evaluasi). 
Penelitian ini dilakukan di SMP Negeri 1 Kamal dengan subjek kelas VII H. Kelayakan media pembelajaran ini ditinjau dari aspek materi dan aspek media. Uji coba dalam penelitian ini memiliki tiga tahapan, yaitu perorangan (3 orang), kelompok kecil (9 orang), dan kelompok besar (20 orang). Metode pengumpulan data yang digunakan yaitu angket respon siswa. Hasil validasi ahli media sebesar 90% menunjukkan media sangat layak digunakan. Hasil validasi ahli materi sebesar 90% menunjukkan media sangat layak digunakan. Hasil uji coba perorangan sebesar 95,83% menunjukkan media sangat layak digunakan. Hasil uji coba kelompok kecil sebesar 95,56% menunjukkan media sangat layak digunakan. Hasil uji coba kelompok besar sebesar 94,88% menunjukkan media sangat layak digunakan. Berdasarkan hasil-hasil tersebut, pengembang menyimpulkan bahwa media pembelajaran sistem tata surya berbasis virtual reality sangat layak digunakan dalam pembelajaran.

Kata-Kata Kunci : virtual reality, sistem tata surya, media pembelajaran
"
163,CHATBOT  INFORMASI JADWAL KULIAH DAN PENGINGAT TUGAS MAHASISWA MENGGUNAKAN METODE REGULAR EXPRESSION PATTERN MATCHING DI PROGRAM STUDI PENDIDIKAN INFORMATIKA,Moh. Yusuf Malikul Mulki,"Medika Risnasari, S.ST., M.T.","Sigit Dwi Saputro, S.Pd., M.Pd.","Kampus merupakan lingkungan tempat mahasiswa menuntut ilmu. Di kampus terdapat dosen yang bertugas mengajar mahasiswa. Selama kuliah mahasiswa perlu mengetahui informasi perkuliahan seperti jadwal kuliah dan juga mencatat tugas-tugas kuliah. Informasi jadwal kuliah di Program Studi Pendidikan Informatika masih berupa tabel excel. Mahasiswa perlu mengakses situs program studi dan mengunduh berkas jadwal. Lalu mahasiswa harus mencari lagi jadwal yang sesuai kelasnya karena jadwal seluruh angkatan berada dalam satu berkas yang sama. Jadwal juga dapat mengalami perubahan. Proses mencari jadwal perkuliahan seperti ini cukup rumit bagi mahasiswa. Sehingga dibutuhkan sistem yang mampu membantu mahasiswa.

Penelitian ini bertujuan untuk mengembangkan chatbot Telegram informasi perkuliahan dan pengingat tugas mahasiswa dengan nama Temaku (Teman Kuliahku) menggunakan metode regular expression pattern matching. Serta mengetahui kelayakan chatbot Temaku ketika digunakan oleh mahasiswa Program Studi Pendidikan Informatika. Regular expression pattern matching adalah metode pencocokan pola menggunakan ekspresi reguler. Metode ini digunakan untuk memproses kalimat yang dikirimkan pengguna melalui aplikasi Telegram. Telegram adalah aplikasi perpesanan yang bisa diunduh di Playstore. Keunggulan dari aplikasi Telegram adalah ukuran berkas pemasangan yang kecil, ringan ketika dijalankan, dan tersedia API untuk pembuatan chatbot. Model pengembangan yang digunakan adalah model spiral. Hasil produk pengembangan yaitu chatbot Temaku dengan fitur dapat menampilkan jadwal kuliah yang dicari oleh pengguna dan mengingatkan pengguna jika ada tugas. Pada aspek fungsionalitas yang diujikan ke ahli sistem telah terpenuhi sehingga chatbot Temaku secara fungsional sudah tepenuhi. Pada aspek efektif, efisien, dan kepuasan yang diujikan ke pengguna memperoleh persentase 93%. Kesimpulannya, chatbot Temaku layak untuk digunakan dan dapat membantu mahasiswa Program Studi Pendidikan Informatika dalam mencari jadwal kuliah dan mencatat tugas dengan efektif dan efisien.

Kata Kunci: Chatbot, Regular Expression Pattern Matching, Telegram."
164,"Pengembangan Media Pembelajaran Try Out  Berbasis Web Menggunakan Laravel Di Jurusan Tkj Smk Pgri 1 Bangkalan

",Ishaq Arifin,"Wanda Ramansyah,S.Pd.,M.Pd.","Puji Rahayu Ningsih, S.Pd., M.Pd.","Penelitian in bertujuan untuk mengembangkan media pembelajaran Try Out Berbasis Web Menggunakan Laravel Di Jurusan TKJ. Pengembangan media pembelajaran Try Out Berbasis Web Menggunakan Laravel tersebut untuk memudahkan siswa dalam melaksanakan kegiatan Try Out. Peneltian ini menggunakan metode penelitian pengembangan dengan model analisis ADDIE (Analysis-Design-Develop-Implement-Evaluate) yang menjadi pedoman dalam membangun perangkat dan infrastruktur program pelatihan yang efektif, dinamis dan mendukung kinerja pelatihan itu sendiri. Subjek dalam penelitian ini adalah terdiri dari kelompok kecil dan besar yang keseluruhan 13 siswa. Pengumpulan data dilakukan dokumentasi dengan angket. Hasil penelitian menunjukkan bahwa, pada uji coba lapangan utama Pengembangan Media Pembelajaran Try Out Berbasis Web Menggunakan Laravel Di Jurusan TKJ SMK PGRI 1 Bangkalan termasuk dalam kategori baik. Setelah dilakukan revisi, hasil pengembangan termasuk dalam kategori sangat baik pada uji lapangan operasional. Dengan demikian, Media Pembelajaran Try Out Berbasis Web Menggunakan Laravel hasil pengembangan ini layak digunakan oleh siswa.

Kata kunci : Pengenbangan, Media Pembelajaran, Try Out  Berbasis Web, Laravel, Pemrograman web."
165,"PENGEMBANGAN MEDIA PEMBELAJARAN AUGMENTED 
REALITY BERBASIS ANDROID PADA MATA PELAJARAN 
JARINGAN DASAR KOMPUTER 
DI SMKN 1 LABANG
",NOVIA ULFATUL HASANAH,"Wanda Ramansyah, S.Pd,.M.Pd","Ariesta Kartika Sari, Si,.M.Pd","Media pembelajaran Augmented Reality berbasis android pada mata pelajaran Jaringan Dasar materi Topologi Jaringan Komputer pada kelas X TKJ 1 di SMKN 1 Labang bertujuan untuk mempermudah guru dalam menerapkan proses pembelajaran dikelas, dan meningkatkan minat belajar siswa, sehingga media tersebut dapat bermanfaat bagi guru dan siswa. Selain itu juga dengan adanya media pembelajaran Augmented Reality berbasis Android siswa lebih mudah dalam memahami materi yaitu tentang Topologi Jaringan beserta macam-macam Jaringan. penelitian ini dikembangkan menggunakan model pengembangan ADDIE yang menggunakan 5 tahap diantaranya: (1) Analyze (Analisa); (2) Design (Perancangan); (3) Devolopment (Pengembangan); (4) Implementation (Implementasi); dan (5) Evaluation (Evaluasi). Pada tahapan uji coba ini juga memperoleh hasil nilai yang terdapat pada aspek-aspek penilaian yaitu aspek efektivitas, aspek efisiensi, dan aspek penilaian daya tarik pada produk yang akan dikembangkan. Pada tahap pertama adalah hasil data uji ahli bahasa terhadap lembar angket ahli media, dengan memperoleh nilai rata-rata 73%, hasil data uji ahli bahasa terhadap lembar angket ahli materi/isi, dengan memperoleh nilai rata-rata 76%, hasil data uji ahli bahasa terhadap lembar angket ahli respon siswa, dengan memperoleh nilai rata-rata 71%. Pada tahap kedua adalah hasil data uji ahli media pembelajaran, dengan memperoleh nilai rata-rata 90%,  Pada tahap ketiga adalah hasil data uji ahli materi terhadap guru mata pelajaran, dengan memperoleh nilai rata-rata 87%,  Pada tahap keempat adalah hasil data uji coba perorangan, dengan memperoleh nilai rata-rata 97,22%,  Pada tahap kelima adalah hasil data uji coba kelompok kecil, dengan memperoleh nilai rata-rata 95%, Pada tahap keenam adalah hasil data uji coba, dengan memperoleh nilai rata-rata 93,17%. Semoga produk yang sudah dikembangkan  tentang media pembelajaran Augmented Reality beebasis Androidpada mata pelajaran Jaringan Dasar materi Topologi Jaringan Komputer pada kelas X TKJ 1ini, dapat bermanfaat bagi sekolah lain terutama untuk sekolah di SMKN 1 Labang.

Kata Kunci : Media Pembelajaran Augmented Reality berbasis Android,
Jaringan Dasar, Topologi Jaringan Komputer.

"
166,"PENGEMBANGAN MEDIA PEMBELAJARAN BUKU LKS
BERBASIS AUGMENTED REALITY PADA MATERI PELAJARAN PENGENALAN KOMPONEN KOMPUTER UNTUK KELAS X TKJ DI SMK PGRI 1 BANGKALAN
",Muhammad Ulmul Azmi,"Arik Kurniawati, S.Kom., M.T","Puji Rahayu Ningsih, S.Pd.,M.Pd","Muhammad Ulmul Azmi . 2018. Pengembangan Buku LKS Berbasis Augmented RealityPada Materi Pelajaran Pengenalan Komponen Komputer Untuk Kelas X TKJ Di SMKS PGRI 1 Bangkalan. Skripsi, Pendidikan Informatika, Universitas Trunojoyo Madura.

Pembimbing : (I) Arik Kurniawati, S.Kom., M.T., dan (II) Puji Rahayu Ningsih, S.Pd., M.Pd.

Kata Kunci : Media Pembelajaran, Buku LKS BerbasisAR, Android, PengenalanKomponen Komputer.

Materi Pengenalan Komponen Komputer Materi tersebut merupakan dasar dari merakit personal komputer. Dengan adanya materi Pengenalan Komponen Komputer, siswa dapat memahami bahwa sebelum merakit sebuah komputer siswa harus mengetahui komponen yang terdapat pada sebuah komputer

Penelitian ini bertujuan untuk mengembangkan media pembelajaran tentang pengenalan komponen komputer yang berupa buku LKS berbasis augmented reality untuk membantu siswa dalam memahami materi pengenalan komponen komputer mata pelajaran produktif.

Penelitian ini menggunakan metode penelitian pengembangan dengan mengikuti model pengembangan ADDIE (Analysis, Design, Development, Implementation, Evaluation). Dalam penelitian ini dilakukan 4 tahap uji coba untuk memperoleh nilai efektivitas, efisiensi, dan daya tarik produk. Pertama uji coba ahli isi/materi, kedua uji coba ahli rancangan media, ketiga uji coba perorangan, keempat uji coba kelompok besar.

Hasil penelitian menunjukkan bahwa nilai yang diperoleh buku LKS berbasis augmentedreality dari: 1) Ahli Materi mendapatkan nilai 85:00 ?ngan kualifikasi“tinggi”, 2) AhliRancangan Media diperoleh nilai 93,33% dengan kualifikasi “sangat tinggi”, 3) uji coba siswa perorangan diperoleh nilai 90,66% dengan kualifikasi “sangat tinggi”, 4) uji coba siswa kelompok besar diperoleh nilai 88,66% dengan kualifikasi “tinggi”. Dengan demikian buku LKS berbasis augmented reality yang dikembangkan ini memiliki nilai efektifitas, efisiensi, dan daya tarik yang tinggi sebagai media pembelajaran Pengenalan Komponen Komputer.
"
167,Efektifitas Model Pembelajaran Kooperatif Tipe TAI Terhadap Hasil Belajar Siswa Materi Kelas Maya Kelas X SMKN 1 Sumenep,akifah,"Muchamad Arif, S.Pd., M.Pd","Sigit Dwi Saputro, S. Pd., M.Pd","Penelitian ini memiliki tujuan yaitu untuk mengetahui keefektifan model pembelajaran kooperatif tipe TAI terhadap hasil belajar siswa pada materi kelas maya di kelas X SMKN 1 Sumenep. Penelitian ini merupakan penelitian Nonequivalent Control Group Design dengan menggunakan Pretest-Posttest Control Group Design. Pengambilan data sampel menggunakan teknik Nonprobablity Sampling dengan jenis Sampling Jenuh. 
Berdasarkan hasil penelitian yang diperoleh: (1) keterlaksanaan guru dalam pembelajaran selama 2 kali pertemuan memperoleh rata-rata sebesar 87,64% termasuk kategori sangat baik, (2) aktivitas siswa dalam mengikuti pembelajaran selama 2 kali pertemuan memperoleh rata-rata sebesar 87,87% termasuk kategori sangat baik, (3) respon siswa memperoleh rata-rata sebesar 82,07% termasuk kategori sangat baik, (4) hasil belajar siswa memperoleh rata-rata  sebesar 81,92 dan kelompok kontrol sebesar 75,56. Peningkatan dari hasil belajar siswa pretest ke posttest yang dilihat dari nilai gain ternormalisasi sebesar 0,630 yang termasuk kategori sedang. Keempat dari indikator tersebut terlaksanakan dengan baik. Pada uji-t diperoleh hasil thitung > ttabel yaitu 2,06069 > 2,042 dengan taraf signifikan ?=0,05. Jadi dapat disimpulkan bahwa dari empat indikator terlaksana dengan baik sehingga dapat dikatan bahwa model pembelajaran kooperatif tipe TAI “efektif” pada materi kelas maya pada mata pelajaran simulasi digital di SMKN 1 Sumenep.
Kata kunci :  Efektivitas, Kooperatif Tipe TAI, Kelas Maya
"
168,Pengembangan Game Edukasi Matematika (Operasi Bilangan Pecahan) Berbasis Android  untuk Sekolah Dasar,Tarmidzi Ramadhan Ade Amirulloh,"Medika Risnasari, S.ST., M.T.","Puji Rahayu Ningsih, S.Pd., M.Pd","Keinginan siswa sekolah dasar dalam belajar semakin rendah setiap harinya, dikarenakan siswa kurang paham atau sulit dimengerti dalam pembelajaran tersebut. Untuk mendorong kembali semangat siswa maka diperlukan perubahan dalam gaya belajar yaitu memberikan siswa sebuah  pembelajaran baru dengan gaya belajar yang menarik siswa untuk lebih semangat dalam belajar. Peneliti mengambil materi tentang  operasi bilangan pecahan  untuk kelas IV dan V. Peneliti menggunakan model ADDIE sebagai penelitan. Setelah itu peneliti melakukan penelitian pada perorangan yaitu 3 siswa, dan mendapatkan persentase 95% (Sangat Baik) dengan begitu maka layak digunakan untuk tahap uji coba kelompok kecil. Tahap uji coba kelompok kecil tersebut terdapat 8 orang dan mendapatkan persentase  90,93% (Sangat Baik), maka produk tersebut sangat layak digunakan dan masuk untuk ketahap selanjutnya. Tahap selanjutnya adalah kelopok besar yang terdapat 20 orang dan mendapatkan persentase 90,5% (Sangat Baik). maka game edukasi tersebut sangat layak dan bisa digunakan terus dalam proses pembelajaran matematika untuk sekolah dasar kelas IV dan V.

Kata – kata Kunci : ADDIE, Matematika, Operasi Bilangan Pecahan, Game Edukasi, Android."
